"cnty_fips","display_name","Value","theme_range"
37001,"""Alamance, (NC)""",974.2,"909.8 - 996.8 (20)"
37003,"""Alexander, (NC)""",888.3,"551.4 - 909.7 (20)"
37005,"""Alleghany, (NC)""",971.7,"909.8 - 996.8 (20)"
37007,"""Anson, (NC)""",1366.2,"1186.6 - 1879.2 (20)"
37009,"""Ashe, (NC)""",983.3,"909.8 - 996.8 (20)"
37011,"""Avery, (NC)""",1019.9,"996.9 - 1104.3 (20)"
37013,"""Beaufort, (NC)""",1147.2,"1104.4 - 1186.5 (20)"
37015,"""Bertie, (NC)""",1054.6,"996.9 - 1104.3 (20)"
37017,"""Bladen, (NC)""",1454.4,"1186.6 - 1879.2 (20)"
37019,"""Brunswick, (NC)""",979.8,"909.8 - 996.8 (20)"
37021,"""Buncombe, (NC)""",912.4,"909.8 - 996.8 (20)"
37023,"""Burke, (NC)""",1151.7,"1104.4 - 1186.5 (20)"
37025,"""Cabarrus, (NC)""",1028,"996.9 - 1104.3 (20)"
37027,"""Caldwell, (NC)""",1154.6,"1104.4 - 1186.5 (20)"
37029,"""Camden, (NC)""",1358.2,"1186.6 - 1879.2 (20)"
37031,"""Carteret, (NC)""",1015.5,"996.9 - 1104.3 (20)"
37033,"""Caswell, (NC)""",854,"551.4 - 909.7 (20)"
37035,"""Catawba, (NC)""",1072.4,"996.9 - 1104.3 (20)"
37037,"""Chatham, (NC)""",551.4,"551.4 - 909.7 (20)"
37039,"""Cherokee, (NC)""",1342.1,"1186.6 - 1879.2 (20)"
37041,"""Chowan, (NC)""",958.1,"909.8 - 996.8 (20)"
37043,"""Clay, (NC)""",863.6,"551.4 - 909.7 (20)"
37045,"""Cleveland, (NC)""",1247.3,"1186.6 - 1879.2 (20)"
37047,"""Columbus, (NC)""",1879.2,"1186.6 - 1879.2 (20)"
37049,"""Craven, (NC)""",962,"909.8 - 996.8 (20)"
37051,"""Cumberland, (NC)""",1082.2,"996.9 - 1104.3 (20)"
37053,"""Currituck, (NC)""",1220.3,"1186.6 - 1879.2 (20)"
37055,"""Dare, (NC)""",913,"909.8 - 996.8 (20)"
37057,"""Davidson, (NC)""",1077.3,"996.9 - 1104.3 (20)"
37059,"""Davie, (NC)""",908.7,"551.4 - 909.7 (20)"
37061,"""Duplin, (NC)""",993.6,"909.8 - 996.8 (20)"
37063,"""Durham, (NC)""",836.3,"551.4 - 909.7 (20)"
37065,"""Edgecombe, (NC)""",1027.1,"996.9 - 1104.3 (20)"
37067,"""Forsyth, (NC)""",909.7,"551.4 - 909.7 (20)"
37069,"""Franklin, (NC)""",1012.1,"996.9 - 1104.3 (20)"
37071,"""Gaston, (NC)""",1135.6,"1104.4 - 1186.5 (20)"
37073,"""Gates, (NC)""",977.7,"909.8 - 996.8 (20)"
37075,"""Graham, (NC)""",1364,"1186.6 - 1879.2 (20)"
37077,"""Granville, (NC)""",948.8,"909.8 - 996.8 (20)"
37079,"""Greene, (NC)""",1138.7,"1104.4 - 1186.5 (20)"
37081,"""Guilford, (NC)""",859.5,"551.4 - 909.7 (20)"
37083,"""Halifax, (NC)""",1094.1,"996.9 - 1104.3 (20)"
37085,"""Harnett, (NC)""",1288.2,"1186.6 - 1879.2 (20)"
37087,"""Haywood, (NC)""",1163.3,"1104.4 - 1186.5 (20)"
37089,"""Henderson, (NC)""",869.2,"551.4 - 909.7 (20)"
37091,"""Hertford, (NC)""",1104.3,"996.9 - 1104.3 (20)"
37093,"""Hoke, (NC)""",1137,"1104.4 - 1186.5 (20)"
37095,"""Hyde, (NC)""",1308.7,"1186.6 - 1879.2 (20)"
37097,"""Iredell, (NC)""",1010.1,"996.9 - 1104.3 (20)"
37099,"""Jackson, (NC)""",918.1,"909.8 - 996.8 (20)"
37101,"""Johnston, (NC)""",1224.8,"1186.6 - 1879.2 (20)"
37103,"""Jones, (NC)""",1266.5,"1186.6 - 1879.2 (20)"
37105,"""Lee, (NC)""",1155.7,"1104.4 - 1186.5 (20)"
37107,"""Lenoir, (NC)""",1181.7,"1104.4 - 1186.5 (20)"
37109,"""Lincoln, (NC)""",1206.7,"1186.6 - 1879.2 (20)"
37111,"""McDowell, (NC)""",1106.1,"1104.4 - 1186.5 (20)"
37113,"""Macon, (NC)""",959.1,"909.8 - 996.8 (20)"
37115,"""Madison, (NC)""",1186.5,"1104.4 - 1186.5 (20)"
37117,"""Martin, (NC)""",1246.2,"1186.6 - 1879.2 (20)"
37119,"""Mecklenburg, (NC)""",843.5,"551.4 - 909.7 (20)"
37121,"""Mitchell, (NC)""",1117.3,"1104.4 - 1186.5 (20)"
37123,"""Montgomery, (NC)""",908.2,"551.4 - 909.7 (20)"
37125,"""Moore, (NC)""",809.4,"551.4 - 909.7 (20)"
37127,"""Nash, (NC)""",1048.7,"996.9 - 1104.3 (20)"
37129,"""New Hanover, (NC)""",988,"909.8 - 996.8 (20)"
37131,"""Northampton, (NC)""",991.4,"909.8 - 996.8 (20)"
37133,"""Onslow, (NC)""",988.2,"909.8 - 996.8 (20)"
37135,"""Orange, (NC)""",771.1,"551.4 - 909.7 (20)"
37137,"""Pamlico, (NC)""",1128.2,"1104.4 - 1186.5 (20)"
37139,"""Pasquotank, (NC)""",1738.7,"1186.6 - 1879.2 (20)"
37141,"""Pender, (NC)""",939.1,"909.8 - 996.8 (20)"
37143,"""Perquimans, (NC)""",1295.8,"1186.6 - 1879.2 (20)"
37145,"""Person, (NC)""",1026.2,"996.9 - 1104.3 (20)"
37147,"""Pitt, (NC)""",1026.1,"996.9 - 1104.3 (20)"
37149,"""Polk, (NC)""",750.3,"551.4 - 909.7 (20)"
37151,"""Randolph, (NC)""",1152.6,"1104.4 - 1186.5 (20)"
37153,"""Richmond, (NC)""",1408.5,"1186.6 - 1879.2 (20)"
37155,"""Robeson, (NC)""",1201.7,"1186.6 - 1879.2 (20)"
37157,"""Rockingham, (NC)""",1167.9,"1104.4 - 1186.5 (20)"
37159,"""Rowan, (NC)""",1121,"1104.4 - 1186.5 (20)"
37161,"""Rutherford, (NC)""",1249,"1186.6 - 1879.2 (20)"
37163,"""Sampson, (NC)""",1097.9,"996.9 - 1104.3 (20)"
37165,"""Scotland, (NC)""",1094.9,"996.9 - 1104.3 (20)"
37167,"""Stanly, (NC)""",1534.3,"1186.6 - 1879.2 (20)"
37169,"""Stokes, (NC)""",909.7,"551.4 - 909.7 (20)"
37171,"""Surry, (NC)""",996.8,"909.8 - 996.8 (20)"
37173,"""Swain, (NC)""",1125.6,"1104.4 - 1186.5 (20)"
37175,"""Transylvania, (NC)""",750,"551.4 - 909.7 (20)"
37177,"""Tyrrell, (NC)""",882.8,"551.4 - 909.7 (20)"
37179,"""Union, (NC)""",1130.7,"1104.4 - 1186.5 (20)"
37181,"""Vance, (NC)""",1075.3,"996.9 - 1104.3 (20)"
37183,"""Wake, (NC)""",814.4,"551.4 - 909.7 (20)"
37185,"""Warren, (NC)""",1122,"1104.4 - 1186.5 (20)"
37187,"""Washington, (NC)""",960.3,"909.8 - 996.8 (20)"
37189,"""Watauga, (NC)""",844.4,"551.4 - 909.7 (20)"
37191,"""Wayne, (NC)""",1000.7,"996.9 - 1104.3 (20)"
37193,"""Wilkes, (NC)""",946.9,"909.8 - 996.8 (20)"
37195,"""Wilson, (NC)""",1043.2,"996.9 - 1104.3 (20)"
37197,"""Yadkin, (NC)""",1181,"1104.4 - 1186.5 (20)"
37199,"""Yancey, (NC)""",844.2,"551.4 - 909.7 (20)"
